LAP,TIME,LAP_2,TIME_2,NO,DRIVER
3 ,1:32.167 ,32 ,1:32.227 ,5 ,S. VETTEL
4 ,1:32.014 ,33 ,1:32.795 ,5 ,S. VETTEL
5 ,1:32.273 ,34 ,1:32.937 ,5 ,S. VETTEL
6 ,1:32.204 ,35 ,1:53.109 ,5 ,S. VETTEL
7 ,1:32.080 ,36 ,1:34.747 ,5 ,S. VETTEL
8 ,1:32.289 ,37 ,1:30.251 ,5 ,S. VETTEL
9 ,1:32.578 ,38 ,1:30.612 ,5 ,S. VETTEL
10 ,1:32.571 ,39 ,1:30.627 ,5 ,S. VETTEL
11 ,1:32.960 ,40 ,1:31.064 ,5 ,S. VETTEL
12 ,1:33.014 ,41 ,1:31.220 ,5 ,S. VETTEL
13 ,1:50.574 ,42 ,1:31.104 ,5 ,S. VETTEL
14 ,1:35.604 ,43 ,1:30.814 ,5 ,S. VETTEL
15 ,1:30.757 ,44 ,1:31.196 ,5 ,S. VETTEL
16 ,1:31.809 ,45 ,1:30.779 ,5 ,S. VETTEL
17 ,1:39.423 ,46 ,1:30.725 ,5 ,S. VETTEL
18 ,3:21.551 ,47 ,1:30.590 ,5 ,S. VETTEL
19 ,20:13.527 ,48 ,1:30.463 ,5 ,S. VETTEL
20 ,1:30.524 ,49 ,1:30.271 ,5 ,S. VETTEL
21 ,1:30.374 ,50 ,1:30.168 ,5 ,S. VETTEL
22 ,1:30.207 ,51 ,1:30.137 ,5 ,S. VETTEL
23 ,1:29.951 ,52 ,1:31.262 ,5 ,S. VETTEL
24 ,1:30.185 ,53 ,1:30.665 ,5 ,S. VETTEL
25 ,1:30.719 ,54 ,1:30.907 ,5 ,S. VETTEL
26 ,1:31.764 ,55 ,1:35.239 ,5 ,S. VETTEL
27 ,1:31.454 ,56 ,1:30.965 ,5 ,S. VETTEL
28 ,1:31.507 ,57 ,1:31.634 ,5 ,S. VETTEL
29 ,1:31.809,"","" ,5 ,S. VETTEL
1 ,16:08:52 ,30 ,1:31.800 ,6 ,N. ROSBERG
2 ,1:32.037 ,31 ,1:31.885 ,6 ,N. ROSBERG
3 ,1:32.747 ,32 ,1:31.813 ,6 ,N. ROSBERG
4 ,1:32.141 ,33 ,1:32.115 ,6 ,N. ROSBERG
5 ,1:31.575 ,34 ,1:32.685 ,6 ,N. ROSBERG
6 ,1:32.468 ,35 ,1:32.679 ,6 ,N. ROSBERG
7 ,1:32.464 ,36 ,1:31.982 ,6 ,N. ROSBERG
8 ,1:32.625 ,37 ,1:31.755 ,6 ,N. ROSBERG
9 ,1:32.557 ,38 ,1:31.668 ,6 ,N. ROSBERG
10 ,1:32.581 ,39 ,1:32.137 ,6 ,N. ROSBERG
11 ,1:32.681 ,40 ,1:31.651 ,6 ,N. ROSBERG
12 ,1:50.969 ,41 ,1:32.506 ,6 ,N. ROSBERG
13 ,1:34.742 ,42 ,1:31.467 ,6 ,N. ROSBERG
14 ,1:31.298 ,43 ,1:31.070 ,6 ,N. ROSBERG
15 ,1:31.982 ,44 ,1:30.854 ,6 ,N. ROSBERG
16 ,1:33.289 ,45 ,1:30.812 ,6 ,N. ROSBERG
17 ,1:40.716 ,46 ,1:31.415 ,6 ,N. ROSBERG
18 ,3:19.132 ,47 ,1:31.222 ,6 ,N. ROSBERG
19 ,20:11.335 ,48 ,1:31.300 ,6 ,N. ROSBERG
20 ,1:31.206 ,49 ,1:31.811 ,6 ,N. ROSBERG
21 ,1:30.557 ,50 ,1:31.000 ,6 ,N. ROSBERG
22 ,1:30.688 ,51 ,1:30.703 ,6 ,N. ROSBERG
23 ,1:30.939 ,52 ,1:30.978 ,6 ,N. ROSBERG
24 ,1:30.901 ,53 ,1:31.813 ,6 ,N. ROSBERG
25 ,1:30.929 ,54 ,1:32.179 ,6 ,N. ROSBERG
26 ,1:30.931 ,55 ,1:32.350 ,6 ,N. ROSBERG
27 ,1:31.369 ,56 ,1:31.701 ,6 ,N. ROSBERG
28 ,1:31.691 ,57 ,1:32.449 ,6 ,N. ROSBERG
29 ,1:31.899,"",""
1 ,16:08:51 ,12 ,1:33.290 ,7 ,K. RAIKKONEN
2 ,1:31.891 ,13 ,1:33.900 ,7 ,K. RAIKKONEN
3 ,1:32.341 ,14 ,1:34.049 ,7 ,K. RAIKKONEN
4 ,1:32.321 ,15 ,1:34.176 ,7 ,K. RAIKKONEN
5 ,1:32.139 ,16 ,1:53.141 ,7 ,K. RAIKKONEN
6 ,1:32.240 ,17 ,1:48.909 ,7 ,K. RAIKKONEN
7 ,1:32.210 ,18 ,3:08.276 ,7 ,K. RAIKKONEN
8 ,1:32.381 ,19 ,20:09.843 ,7 ,K. RAIKKONEN
9 ,1:32.728 ,20 ,1:31.247 ,7 ,K. RAIKKONEN
10 ,1:32.598 ,21 ,1:30.701 ,7 ,K. RAIKKONEN
11 ,1:32.933,"","" ,7 ,K. RAIKKONEN
1 ,16:09:02 ,30 ,1:33.556 ,8 ,R. GROSJEAN
2 ,1:35.688 ,31 ,1:33.220 ,8 ,R. GROSJEAN
3 ,1:35.158 ,32 ,1:33.639 ,8 ,R. GROSJEAN
4 ,1:34.444 ,33 ,1:33.327 ,8 ,R. GROSJEAN
5 ,1:34.503 ,34 ,1:33.520 ,8 ,R. GROSJEAN
6 ,1:35.005 ,35 ,1:33.388 ,8 ,R. GROSJEAN
7 ,1:35.124 ,36 ,1:33.010 ,8 ,R. GROSJEAN
8 ,1:35.520 ,37 ,1:33.211 ,8 ,R. GROSJEAN
9 ,1:35.463 ,38 ,1:33.385 ,8 ,R. GROSJEAN
10 ,1:35.351 ,39 ,1:33.139 ,8 ,R. GROSJEAN
